"","x"
"1","fa3.61_55.R.0.2.rl.count6.dawn.sum_28"
"2","fa3.69_60.TR.7T10nR.G.0.2.dusk.sum_28"
"3","fa2.35_26.ETo.G0.4.dusk.sum_28"
"4","fa2.14_8.R.0.4.rl.count4.dusk.sum_21"
"5","fa2.86_79.R.0.4.rl.count4.nighttime.sum_7"
"6","fa2.72_66.RH8.peak4.daytime.sum_7"
"7","fa2.38_32.T8.peak4.dusk.sum_7"
"8","fa2.44_37.TRH.19T22nRH.G85.dusk.sum_28"
"9","fa1.15_7.T.22T25.nighttime.sum_21"
"10","fa1.23_17.TR.10T13nR.G.0.2.dusk.sum_7"
"11","fa1.16_9.TR.19T22nR.G.0.2.daytime.sum_21"
"12","fa1.44_26.TRH.7T10nRH.G85.dawn.sum_28"
