"","Model","Mean_RMSE","SE_RMSE","Mean_MAE","SE_MAE","Mean_PICP","SE_PIPC"
"1","M1",5.48170727319625,0.900376567234905,4.39943805831559,0.719290062612161,100,0
"2","M2",6.61437739261787,0.888062454388293,5.04229524944348,0.785119035582443,61.4285714285714,11.0759079520124
"3","M3",5.62554706100569,0.745299887458868,4.41046803370913,0.655695234458339,94.6428571428571,3.29269444903317
"4","M4",5.74070551746901,0.772206147706139,4.46597515527191,0.557698082749757,75.5952380952381,6.98739551944247
"5","M5",6.72679895266757,0.413480211600821,5.24981590750524,0.295580967302835,93.8095238095238,3.80952380952381
"6","M6",5.59156611143199,0.689294308974284,4.37106665108172,0.507493308572571,81.7857142857143,5.92732823071648
"7","M7",4.33249078301303,0.600935155615012,3.49066403703498,0.446185354187991,97.5,2.5
"8","M8",4.41651680582459,0.638491647608428,3.51423299824019,0.483374257994254,97.5,2.5
"9","M9",3.96810608396194,0.514772058168797,3.35919464435405,0.428102772981353,97.5,2.5
"10","XGBoost",5.19768900953743,0.826123601602937,4.20820784441417,0.665547056259282,NA,NA
